1,Genovese,Brasato al Barolo,Orecchiette broccoli e salsiccia,Arancini,Saltimbocca alla Romana,Seppie con piselli,Vitello tonnato,Torta salata di zucchine,Fiori di zucca in pastella,Couscous alle verdure
1,Orecchiette broccoli e salsiccia,Fiori di zucca in pastella,Brasato al Barolo,Genovese,Arancini,Saltimbocca alla Romana,Couscous alle verdure,Torta salata di zucchine,Seppie con piselli,Vitello tonnato
1,Arancini,Fiori di zucca in pastella,Vitello tonnato,Seppie con piselli,Orecchiette broccoli e salsiccia,Brasato al Barolo,Torta salata di zucchine,Saltimbocca alla Romana,Genovese,Couscous alle verdure
1,Orecchiette broccoli e salsiccia,Brasato al Barolo,Genovese,Vitello tonnato,Arancini,Couscous alle verdure,Saltimbocca alla Romana,Torta salata di zucchine,Fiori di zucca in pastella,Seppie con piselli
2,Pollo al   limone,Arrosto   di vitello al forno con patate,Crocchette   di patate,Pasta   con la zucca,Spaghetti   all'Amatriciana,Mozzarella   in carrozza,Cannelloni,Parmigiana   di melanzane,Salmone   al forno,Calamari   ripieni
2,Calamari   ripieni,Spaghetti   all'Amatriciana,Pollo al   limone,Crocchette   di patate,Salmone   al forno,Pasta   con la zucca,Mozzarella   in carrozza,Parmigiana   di melanzane,Arrosto   di vitello al forno con patate,Cannelloni
2,Spaghetti   all'Amatriciana,Mozzarella   in carrozza,Crocchette   di patate,Arrosto   di vitello al forno con patate,Pollo al   limone,Calamari   ripieni,Salmone   al forno,Parmigiana   di melanzane,Cannelloni,Pasta   con la zucca
2,Spaghetti   all'Amatriciana,Arrosto   di vitello al forno con patate,Pollo al   limone,Cannelloni,Salmone   al forno,Mozzarella   in carrozza,Calamari   ripieni,Parmigiana   di melanzane,Crocchette   di patate,Pasta   con la zucca
2,Arrosto   di vitello al forno con patate,Parmigiana   di melanzane,Calamari   ripieni,Salmone   al forno,Pollo al   limone,Cannelloni,Spaghetti   all'Amatriciana,Mozzarella   in carrozza,Crocchette   di patate,Pasta   con la zucca
2,Spaghetti   all'Amatriciana,Salmone   al forno,Calamari   ripieni,Arrosto   di vitello al forno con patate,Parmigiana   di melanzane,Cannelloni,Crocchette   di patate,Pasta   con la zucca,Pollo al   limone,Mozzarella   in carrozza
2,Pasta   con la zucca,Parmigiana   di melanzane,Mozzarella   in carrozza,Crocchette   di patate,Calamari   ripieni,Salmone   al forno,Cannelloni,Spaghetti   all'Amatriciana,Arrosto   di vitello al forno con patate,Pollo al   limone
3,Parmigiana   di melanzane,Salmone   al forno,Carbonara   di mare,Baccalà   in umido,Pasta e   zucchine,Mozzarella   in carrozza,Crocchette   di patate,Seppie   con piselli,Pasta   con la zucca,Gamberoni   al forno
3,Mozzarella   in carrozza,Crocchette   di patate,Parmigiana   di melanzane,Carbonara   di mare,Gamberoni   al forno,Pasta e   zucchine,Pasta   con la zucca,Seppie   con piselli,Baccalà   in umido,Salmone   al forno
3,Parmigiana   di melanzane,Salmone   al forno,Seppie   con piselli,Carbonara   di mare,Gamberoni   al forno,Crocchette   di patate,Pasta   con la zucca,Mozzarella   in carrozza,Pasta e   zucchine,Baccalà   in umido
4,Polpette   di zucchine,Risotto   con zucchine,Riso   alla cantonese,Cannelloni,Vitello tonnato,Polpette   al sugo,Salmone   al forno,Torta   salata di melanzane,Parmigiana   di melanzane,Pesce   spada alla siciliana
4,Parmigiana   di melanzane,Polpette   al sugo,Salmone   al forno,Cannelloni,Vitello tonnato,Pesce   spada alla siciliana,Torta   salata di melanzane,Polpette   di zucchine,Riso   alla cantonese,Risotto   con zucchine
4,Cannelloni,Polpette   al sugo,Vitello tonnato,Riso   alla cantonese,Parmigiana   di melanzane,Risotto   con zucchine,Torta   salata di melanzane,Polpette   di zucchine,Pesce   spada alla siciliana,Salmone   al forno
4,Polpette   al sugo,Vitello tonnato,Riso   alla cantonese,Cannelloni,Risotto   con zucchine,Parmigiana   di melanzane,Torta   salata di melanzane,Polpette   di zucchine,Salmone   al forno,Pesce   spada alla siciliana
4,Vitello tonnato,Salmone   al forno,Torta   salata di melanzane,Pesce   spada alla siciliana,Polpette   di zucchine,Risotto   con zucchine,Polpette   al sugo,Cannelloni,Parmigiana   di melanzane,Riso   alla cantonese
